,prolific_id_NONE,question_NONE,score_NONE,average_over_questions_NONE,prolific_id_robot,question_robot,score_robot,average_over_questions_robot,prolific_id_human,question_human,score_human,average_over_questions_human
26,5850ad3a1c68630001f52533,question4,2.0,,5a6ff03b9cdd18000177543a,question4,4.0,,5b44a7f13f470b0001fad504,question5,5.0,
27,5c93de86cf602b000170c25d,question4,3.0,,5cd56625e7f4580015c77130,question4,1.0,,5a95694a4eecca0001dd4721,question5,3.0,
28,5a6a206f3fb6420001c2d9ef,question4,3.0,,59edc2c816ecc200016ff9cc,question5,5.0,,5af892053aba4900015f0592,question5,4.0,
29,5d7946c85d4c06001a5fca59,question4,2.0,,5d77a8b3bedf45000187c499,question5,4.0,,5c82f678a4c44a001484dc00,question5,5.0,
30,5ca219fec977ef0001547071,question4,1.0,,5c6b031a18f539000128f7f9,question5,4.0,,5c5c4f764ee81200018eaabe,question6,4.0,
31,5b3d0c7477cb3a00019c1bb3,question4,4.0,,5a18625a0fff620001a6d60e,question5,5.0,,5baa1f618e137f00016264c9,question6,4.0,
32,5d39ddd133672b0015557242,question5,4.0,,5980f96d413c230001291b41,question5,2.0,,5b44a7f13f470b0001fad504,question6,6.0,
33,5bfff3be0ef039000138b699,question5,5.0,,5a6ff03b9cdd18000177543a,question5,3.0,,5a95694a4eecca0001dd4721,question6,4.0,
34,5850ad3a1c68630001f52533,question5,2.0,,5cd56625e7f4580015c77130,question5,5.0,,5af892053aba4900015f0592,question6,4.0,
35,5c93de86cf602b000170c25d,question5,4.0,,59edc2c816ecc200016ff9cc,question6,4.0,,5c82f678a4c44a001484dc00,question6,5.0,
36,5a6a206f3fb6420001c2d9ef,question5,5.0,,5d77a8b3bedf45000187c499,question6,3.0,,5c5c4f764ee81200018eaabe,question7,4.0,
37,5d7946c85d4c06001a5fca59,question5,5.0,,5c6b031a18f539000128f7f9,question6,5.0,,5baa1f618e137f00016264c9,question7,0.0,
38,5ca219fec977ef0001547071,question5,3.0,,5a18625a0fff620001a6d60e,question6,5.0,,5b44a7f13f470b0001fad504,question7,4.0,
39,5b3d0c7477cb3a00019c1bb3,question5,5.0,,5980f96d413c230001291b41,question6,4.0,,5a95694a4eecca0001dd4721,question7,3.0,
40,5d39ddd133672b0015557242,question6,4.0,,5a6ff03b9cdd18000177543a,question6,4.0,,5af892053aba4900015f0592,question7,4.0,
41,5bfff3be0ef039000138b699,question6,5.0,,5cd56625e7f4580015c77130,question6,3.0,,5c82f678a4c44a001484dc00,question7,4.0,
42,5850ad3a1c68630001f52533,question6,5.0,,59edc2c816ecc200016ff9cc,question7,5.0,,5c5c4f764ee81200018eaabe,question8_reversed,4.0,
43,5c93de86cf602b000170c25d,question6,4.0,,5d77a8b3bedf45000187c499,question7,4.0,,5baa1f618e137f00016264c9,question8_reversed,3.0,
44,5a6a206f3fb6420001c2d9ef,question6,4.0,,5c6b031a18f539000128f7f9,question7,3.0,,5b44a7f13f470b0001fad504,question8_reversed,6.0,
45,5d7946c85d4c06001a5fca59,question6,5.0,,5a18625a0fff620001a6d60e,question7,4.0,,5a95694a4eecca0001dd4721,question8_reversed,4.0,
46,5ca219fec977ef0001547071,question6,2.0,,5980f96d413c230001291b41,question7,3.0,,5af892053aba4900015f0592,question8_reversed,3.0,
47,5b3d0c7477cb3a00019c1bb3,question6,5.0,,5a6ff03b9cdd18000177543a,question7,4.0,,5c82f678a4c44a001484dc00,question8_reversed,2.0,
48,5d39ddd133672b0015557242,question7,2.0,,5cd56625e7f4580015c77130,question7,5.0,,,,,
49,5bfff3be0ef039000138b699,question7,4.0,,59edc2c816ecc200016ff9cc,question8_reversed,6.0,,,,,
50,5850ad3a1c68630001f52533,question7,4.0,,5d77a8b3bedf45000187c499,question8_reversed,6.0,,,,,
51,5c93de86cf602b000170c25d,question7,4.0,,5c6b031a18f539000128f7f9,question8_reversed,6.0,,,,,
52,5a6a206f3fb6420001c2d9ef,question7,3.0,,5a18625a0fff620001a6d60e,question8_reversed,4.0,,,,,
53,5d7946c85d4c06001a5fca59,question7,2.0,,5980f96d413c230001291b41,question8_reversed,4.0,,,,,
54,5ca219fec977ef0001547071,question7,1.0,,5a6ff03b9cdd18000177543a,question8_reversed,3.0,,,,,
55,5b3d0c7477cb3a00019c1bb3,question7,4.0,,5cd56625e7f4580015c77130,question8_reversed,3.0,,,,,
56,5d39ddd133672b0015557242,question8_reversed,5.0,,,,,,,,,
57,5bfff3be0ef039000138b699,question8_reversed,0.0,,,,,,,,,
58,5850ad3a1c68630001f52533,question8_reversed,3.0,,,,,,,,,
59,5c93de86cf602b000170c25d,question8_reversed,3.0,,,,,,,,,
60,5a6a206f3fb6420001c2d9ef,question8_reversed,2.0,,,,,,,,,
61,5d7946c85d4c06001a5fca59,question8_reversed,3.0,,,,,,,,,
62,5ca219fec977ef0001547071,question8_reversed,6.0,,,,,,,,,
63,5b3d0c7477cb3a00019c1bb3,question8_reversed,2.0,,,,,,,,,
